Title,Genre,Premiere,Runtime,IMDB Score,Language,Release Year,Decade,IMDB Category,Language Group,Genre Group
Enter the Anime,Documentary,2019-08-05,58,2.5,English/Japanese,2019.0,2010.0,Low,English,Documentary
Dark Forces,Thriller,2020-08-21,81,2.6,Spanish,2020.0,2020.0,Low,Non-English,Thriller/Horror
The App,Science Fiction/Drama,2019-12-26,79,2.6,Italian,2019.0,2010.0,Low,Non-English,Drama/Romance
The Open House,Horror Thriller,2018-01-19,94,3.2,English,2018.0,2010.0,Low,English,Thriller/Horror
Kaali Khuhi,Mystery,2020-10-30,90,3.4,Hindi,2020.0,2020.0,Low,Non-English,Other
Leyla Everlasting,Comedy,2020-12-04,112,3.7,Turkish,2020.0,2020.0,Low,Non-English,Comedy
Paradox,Musical/Western/Fantasy,2018-03-23,73,3.9,English,2018.0,2010.0,Low,English,Other
Sardar Ka Grandson,Comedy,2021-05-18,139,4.1,Hindi,2021.0,2020.0,Average,Non-English,Comedy
Searching for Sheela,Documentary,2021-04-22,58,4.1,English,2021.0,2020.0,Average,English,Documentary
The Call,Drama,2020-11-27,112,4.1,Korean,2020.0,2020.0,Average,Non-English,Drama/Romance
Whipped,Romantic Comedy,2020-09-18,97,4.1,Indonesian,2020.0,2020.0,Average,Non-English,Comedy
All Because of You,Action Comedy,2020-10-01,101,4.2,Malay,2020.0,2020.0,Average,Non-English,Comedy
Mercy,Thriller,2016-11-22,90,4.2,English,2016.0,2010.0,Average,English,Thriller/Horror
The Last Thing He Wanted,Political Thriller,2020-02-21,115,4.3,English,2020.0,2020.0,Average,English,Thriller/Horror
What Happened to Mr. Cha?,Comedy,2021-01-01,102,4.3,Korean,2021.0,2020.0,Average,Non-English,Comedy
Death Note,Horror Thriller,2017-08-25,100,4.4,English,2017.0,2010.0,Average,English,Thriller/Horror
"Hello Privilege. It's Me, Chelsea",Documentary,2019-09-13,64,4.4,English,2019.0,2010.0,Average,English,Documentary
Secret Obsession,Thriller,2019-07-18,97,4.4,English,2019.0,2010.0,Average,English,Thriller/Horror
Sextuplets,Comedy,2019-08-16,99,4.4,English,2019.0,2010.0,Average,English,Comedy
The Girl on the Train,Thriller,2021-02-26,120,4.4,Hindi,2021.0,2020.0,Average,Non-English,Thriller/Horror
Thunder Force,Superhero-Comedy,2021-04-09,105,4.4,English,2021.0,2020.0,Average,English,Comedy
Fatal Affair,Thriller,2020-07-16,89,4.5,English,2020.0,2020.0,Average,English,Thriller/Horror
Just Say Yes,Romantic Comedy,2021-04-02,97,4.5,Dutch,2021.0,2020.0,Average,Non-English,Comedy
Seriously Single,Comedy,2020-07-31,107,4.5,English,2020.0,2020.0,Average,English,Comedy
The Misadventures of Hedi and Cokeman,Comedy,2021-02-10,99,4.5,French,2021.0,2020.0,Average,Non-English,Comedy
5 Star Christmas,Comedy,2018-12-07,95,4.6,Italian,2018.0,2010.0,Average,Non-English,Comedy
I Am the Pretty Thing That Lives in the House,Horror,2016-10-28,89,4.6,English,2016.0,2010.0,Average,English,Thriller/Horror
Paris Is Us,Romance Drama,2019-02-22,83,4.6,French,2019.0,2010.0,Average,Non-English,Drama/Romance
Rattlesnake,Horror,2019-10-25,85,4.6,English,2019.0,2010.0,Average,English,Thriller/Horror
The Players,Comedy,2020-07-15,88,4.6,Italian,2020.0,2020.0,Average,Non-English,Comedy
We Are One,Documentary,2020-07-14,86,4.6,French,2020.0,2020.0,Average,Non-English,Documentary
Finding Agnes,Drama,2020-11-30,105,4.7,Filipino,2020.0,2020.0,Average,Non-English,Drama/Romance
IO,Science Fiction/Drama,2019-01-18,95,4.7,English,2019.0,2010.0,Average,English,Drama/Romance
Sentinelle,Action,2021-03-05,80,4.7,French,2021.0,2020.0,Average,Non-English,Action/Adventure
The Binding,Drama,2020-10-02,93,4.7,Italian,2020.0,2020.0,Average,Non-English,Drama/Romance
We Can Be Heroes,Superhero,2020-12-25,100,4.7,English,2020.0,2020.0,Average,English,Other
Christmas Crossfire,Thriller,2020-12-04,106,4.8,German,2020.0,2020.0,Average,Non-English,Thriller/Horror
Coin Heist,Heist,2017-01-06,97,4.8,English,2017.0,2010.0,Average,English,Other
Mrs. Serial Killer,Thriller,2020-05-01,106,4.8,Hindi,2020.0,2020.0,Average,Non-English,Thriller/Horror
Nobody Sleeps in the Woods Tonight,Horror,2020-10-28,103,4.8,Polish,2020.0,2020.0,Average,Non-English,Thriller/Horror
Take the 10,Comedy,2017-01-20,80,4.8,English,2017.0,2010.0,Average,English,Comedy
The Main Event,Comedy,2020-04-10,101,4.8,English,2020.0,2020.0,Average,English,Comedy
The Ridiculous 6,Western,2015-12-11,119,4.8,English,2015.0,2010.0,Average,English,Other
Earth and Blood,Action,2020-04-17,80,4.9,French,2020.0,2020.0,Average,Non-English,Action/Adventure
Fearless,Animation/Superhero,2020-08-14,89,4.9,English,2020.0,2020.0,Average,English,Other
Holiday Rush,Family Film,2019-11-28,94,4.9,English,2019.0,2010.0,Average,English,Other
The Day of the Lord,Drama,2020-10-30,93,4.9,Spanish,2020.0,2020.0,Average,Non-English,Drama/Romance
Airplane Mode,Comedy,2020-01-23,96,5.0,Portuguese,2020.0,2020.0,Average,Non-English,Comedy
How It Ends,Action-Thriller,2018-07-13,113,5.0,English,2018.0,2010.0,Average,English,Thriller/Horror
Love Like the Falling Rain,Drama,2020-10-15,86,5.0,Indonesian,2020.0,2020.0,Average,Non-English,Drama/Romance
Rebirth,Thriller,2016-07-15,100,5.0,English,2016.0,2010.0,Average,English,Thriller/Horror
Squared Love,Romantic Comedy,2021-02-11,102,5.0,Polish,2021.0,2020.0,Average,Non-English,Comedy
Cadaver,Horror,2020-10-22,86,5.1,Norwegian,2020.0,2020.0,Average,Non-English,Thriller/Horror
Clinical,Thriller,2017-01-13,104,5.1,English,2017.0,2010.0,Average,English,Thriller/Horror
Coffee & Kareem,Action Comedy,2020-04-03,88,5.1,English,2020.0,2020.0,Average,English,Comedy
Dude,Teen Comedy-Drama,2018-04-20,97,5.1,English,2018.0,2010.0,Average,English,Drama/Romance
Geez & Ann,Romantic Drama,2021-02-25,105,5.1,Indonesian,2021.0,2020.0,Average,Non-English,Drama/Romance
The Larva Island Movie,Animation,2020-07-23,90,5.1,English,2020.0,2020.0,Average,English,Other
#REALITYHIGH,Comedy,2017-09-08,99,5.2,English,2017.0,2010.0,Average,English,Comedy
Desperados,Romantic Comedy,2020-07-03,106,5.2,English,2020.0,2020.0,Average,English,Comedy
Dolly Parton's Christmas on the Square,Christmas Musical,2020-11-22,98,5.2,English,2020.0,2020.0,Average,English,Other
Father of the Year,Comedy,2018-07-20,94,5.2,English,2018.0,2010.0,Average,English,Comedy
Firebrand,Drama,2019-02-22,112,5.2,Marathi,2019.0,2010.0,Average,Non-English,Drama/Romance
Ghost Lab,Horror,2021-05-26,117,5.2,Thai,2021.0,2020.0,Average,Non-English,Thriller/Horror
Girlfriend's Day,Comedy,2017-02-14,70,5.2,English,2017.0,2010.0,Average,English,Comedy
Handsome: A Netflix Mystery Movie,Comedy,2017-05-05,81,5.2,English,2017.0,2010.0,Average,English,Comedy
Hubie Halloween,Comedy,2020-10-07,103,5.2,English,2020.0,2020.0,Average,English,Comedy
Ibiza,Comedy,2018-05-25,94,5.2,English,2018.0,2010.0,Average,English,Comedy
